전처리_주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 동헌로 436,126.9003924,37.7058139,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 고양동 30,10274,4128159000,고양동,4128111600,고양동
경기도 고양시 덕양구 유산길 100,경기도 고양시 덕양구 유산길 100,126.8483581,37.7316985,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 유산길 100,경기도 고양시 덕양구 내유동 769-6,10263,4128160000,관산동,4128111900,내유동
경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼원로3길 70,126.8764119,37.6423457,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369,10550,4128157700,삼송2동,4128111100,삼송동
경기도 고양시 덕양구 화정동 857,경기도 고양시 덕양구 화정동 857,126.8341529,37.6478103,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 어울림로 32,경기도 고양시 덕양구 화정동 857,10472,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 덕수천1로 26,경기도 고양시 덕양구 덕수천1로 26,126.8801867,37.6467696,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 덕수천1로 26,경기도 고양시 덕양구 삼송동 339,10588,4128157700,삼송2동,4128111100,삼송동
경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 화신로 148,126.8423162,37.6248878,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924,10493,4128165500,행신3동,4128112800,행신동
경기도 고양시 덕양구 행신동 924,경기도 고양시 덕양구 행신동 924,126.8423162,37.6248878,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924,10493,4128165500,행신3동,4128112800,행신동
경기도 고양시 덕양구 고양동 30,경기도 고양시 덕양구 고양동 30,126.9003924,37.7058139,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 고양동 30,10274,4128159000,고양동,4128111600,고양동
경기도 고양시 덕양구 화정동 867,경기도 고양시 덕양구 화정동 867,126.8300881,37.6411026,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화중로151번길 56,경기도 고양시 덕양구 화정동 867,10475,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 화정동 859,경기도 고양시 덕양구 화정동 859,126.8308361,37.6454258,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화수로 11-2,경기도 고양시 덕양구 화정동 859,10472,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 동산동 363,경기도 고양시 덕양구 동산동 363,126.8885841,37.6452001,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 동산동 363,10597,4128158000,창릉동,4128111200,동산동
경기도 고양시 덕양구 주교동 313-16,경기도 고양시 덕양구 주교동 313-16,126.8336725,37.6604107,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 46,경기도 고양시 덕양구 주교동 313-16,10459,4128151000,주교동,4128110100,주교동
경기도 고양시 덕양구 동산동 374,경기도 고양시 덕양구 동산동 374,126.8998821,37.6474685,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 동송로 6,경기도 고양시 덕양구 동산동 374,10595,4128158000,창릉동,4128111200,동산동
경기도 고양시 덕양구 주교동 296,경기도 고양시 덕양구 주교동 296,126.829259,37.6628808,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로 51,경기도 고양시 덕양구 주교동 296,10296,4128151000,주교동,4128110100,주교동
경기도 고양시 덕양구 화정동 1131,경기도 고양시 덕양구 화정동 1131,126.835475,37.6277217,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 성신로 55,경기도 고양시 덕양구 화정동 1131,10504,4128162200,화정2동,4128112300,화정동
경기도 고양시 덕양구 행신동 698,경기도 고양시 덕양구 행신동 698,126.8299111,37.6162598,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 충경로 1-2,경기도 고양시 덕양구 행신동 698,10521,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 화정동 943,경기도 고양시 덕양구 화정동 943,126.8255891,37.6325072,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 호국로 506-2,경기도 고양시 덕양구 화정동 943,10501,4128162200,화정2동,4128112300,화정동
경기도 고양시 덕양구 행신동 1098-1,경기도 고양시 덕양구 행신동 1098-1,126.8483184,37.6147199,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 권율대로 202-2,경기도 고양시 덕양구 행신동 1098-1,10534,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 행신3동 41-5,경기도 고양시 덕양구 행신3동 41-5,126.8410701,37.6292635,인근좌표,41281,구주소,,경기도 고양시 덕양구 행신3동 41-5,NULL,4128165500,행신3동,,
경기도 고양시 덕양구 행신동 1071,경기도 고양시 덕양구 행신동 1071,126.8505319,37.6188231,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 중앙로 418-2,경기도 고양시 덕양구 행신동 1071,10491,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 도내동 996,경기도 고양시 덕양구 도내동 996,126.8735375,37.627848,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울1로 29,경기도 고양시 덕양구 도내동 996,10551,4128153000,흥도동,4128110500,도내동
경기도 고양시 덕양구 성사동 267,경기도 고양시 덕양구 성사동 267,126.8450983,37.6471431,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 고양대로1432번길 114,경기도 고양시 덕양구 성사동 267,10479,4128154000,성사1동,4128110600,성사동
경기도 고양시 덕양구 화정동 148-28,경기도 고양시 덕양구 화정동 148-28,126.8400632,37.6437509,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 충장로350번길 21-2,경기도 고양시 덕양구 화정동 148-28,10482,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 성사동 729,경기도 고양시 덕양구 성사동 729,126.8357799,37.6517458,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 고양대로1384번길 46,경기도 고양시 덕양구 성사동 729,10469,4128155000,성사2동,4128110600,성사동
경기도 고양시 덕양구 성사동 735,경기도 고양시 덕양구 성사동 735,126.8333114,37.6516223,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 호국로716번길 13-14,경기도 고양시 덕양구 성사동 735,10469,4128155000,성사2동,4128110600,성사동
경기도 고양시 덕양구 성사동 553-8,경기도 고양시 덕양구 성사동 553-8,126.8426271,37.6618054,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 성사동 553-8,10467,4128154000,성사1동,4128110600,성사동
경기도 고양시 덕양구 행신동 800,경기도 고양시 덕양구 행신동 800,126.8440921,37.6148138,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 충경로 126-2,경기도 고양시 덕양구 행신동 800,10531,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 어울림로 33,126.8361591,37.6499565,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 826,10471,4128155000,성사2동,4128110600,성사동
경기도 고양시 덕양구 오금동 625,경기도 고양시 덕양구 오금동 625,126.9047639,37.659957,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 오금동 625,10577,4128157600,삼송1동,4128111000,오금동
경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금로 240,126.9188064,37.6630779,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금동 679,10576,4128157600,삼송1동,4128111000,오금동
경기도 고양시 덕양구 화정동 989,경기도 고양시 덕양구 화정동 989,126.8362289,37.6331353,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화정로 90-2,경기도 고양시 덕양구 화정동 989,10499,4128162200,화정2동,4128112300,화정동
경기도 고양시 덕양구 화정동 872,경기도 고양시 덕양구 화정동 872,126.8374648,37.6396167,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 은빛로77번길 14,경기도 고양시 덕양구 화정동 872,10474,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 소원로 260,경기도 고양시 덕양구 소원로 260,126.8511253,37.6141256,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 소원로 260,경기도 고양시 덕양구 행신동 1110,10535,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 토당동 3-39,경기도 고양시 덕양구 토당동 3-39,126.8287295,37.6244293,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 지도로80번길 38,경기도 고양시 덕양구 토당동 3-39,10512,4128163000,행주동,4128112000,토당동
경기도 고양시 덕양구 행주내동 645-1,경기도 고양시 덕양구 행주내동 645-1,126.8234798,37.6153849,인근좌표,41281,구주소,,경기도 고양시 덕양구 행주내동 645-1,NULL,,,4128112500,행주내동
경기도 고양시 덕양구 토당동 838,경기도 고양시 덕양구 토당동 838,126.8218933,37.6269201,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 지도로115번길 19-8,경기도 고양시 덕양구 토당동 838,10507,4128161000,능곡동,4128112000,토당동
경기도 고양시 덕양구 행신동 1074-1,경기도 고양시 덕양구 행신동 1074-1,126.845125,37.6197975,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 행신로 278,경기도 고양시 덕양구 행신동 1074-1,10486,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 행신동 1101-1,경기도 고양시 덕양구 행신동 1101-1,126.8536545,37.6183309,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 서정로 38,경기도 고양시 덕양구 행신동 1101-1,10489,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 행신동 701,경기도 고양시 덕양구 행신동 701,126.8310235,37.6139372,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 소원로 45,경기도 고양시 덕양구 행신동 701,10522,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 775,경기도 고양시 덕양구 행신동 775,126.8362588,37.6181426,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 행신로 196,경기도 고양시 덕양구 행신동 775,10528,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 768,경기도 고양시 덕양구 행신동 768,126.8374758,37.6141811,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 용현로 16,경기도 고양시 덕양구 행신동 768,10527,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 782,경기도 고양시 덕양구 행신동 782,126.840407,37.6165256,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화신로 42,경기도 고양시 덕양구 행신동 782,10529,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 786,경기도 고양시 덕양구 행신동 786,126.8403649,37.6141285,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화신로 16,경기도 고양시 덕양구 행신동 786,10530,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 792,경기도 고양시 덕양구 행신동 792,126.8438566,37.6168568,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 소만로 42,경기도 고양시 덕양구 행신동 792,10532,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행신동 978,경기도 고양시 덕양구 행신동 978,126.8366716,37.619273,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 행신로 197-2,경기도 고양시 덕양구 행신동 978,10518,4128164000,행신1동,4128112800,행신동
경기도 고양시 덕양구 권율대로 215-2,경기도 고양시 덕양구 권율대로 215-2,126.8483903,37.615937,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 권율대로 215-2,경기도 고양시 덕양구 행신동 1089,10533,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 행주외동 145,경기도 고양시 덕양구 행주외동 145,126.8197419,37.5974714,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 행주산성로 93-38,경기도 고양시 덕양구 행주외동 145,10440,4128163000,행주동,4128112600,행주외동
경기도 고양시 덕양구 화정동 852,경기도 고양시 덕양구 화정동 852,126.8375742,37.644231,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화수로 71-2,경기도 고양시 덕양구 화정동 852,10473,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 화신로260번길 74,경기도 고양시 덕양구 화신로260번길 74,126.8336762,37.6340922,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로260번길 74,경기도 고양시 덕양구 화정동 974,10500,4128162200,화정2동,4128112300,화정동
경기도 고양시 덕양구 동산동 340,경기도 고양시 덕양구 동산동 340,126.8839218,37.6425161,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 덕수천1로 14,경기도 고양시 덕양구 동산동 340,NULL,4128158000,창릉동,4128111200,동산동
경기도 고양시 덕양구 중앙로 64번길 28-56,경기도 고양시 덕양구 중앙로 64번길 28-56,126.8791406,37.5979694,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 중앙로64번길 28-56,경기도 고양시 덕양구 덕은동 9-211,10539,4128166000,화전동,4128113100,덕은동
경기도 고양시 덕양구 행신동 734,경기도 고양시 덕양구 행신동 734,126.832627,37.6178725,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 무원로 56,경기도 고양시 덕양구 행신동 734,10524,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 동산동 374,경기도 고양시 덕양구 동산동 374,126.8998821,37.6474685,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 동송로 6,경기도 고양시 덕양구 동산동 374,10595,4128158000,창릉동,4128111200,동산동
경기도 고양시 덕양구 화중로 61,경기도 고양시 덕양구 화중로 61,126.8296842,37.6328993,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화중로 61,경기도 고양시 덕양구 화정동 954,10501,4128162200,화정2동,4128112300,화정동
경기도 고양시 덕양구 중앙로 418-2,경기도 고양시 덕양구 중앙로 418-2,126.8505319,37.6188231,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 중앙로 418-2,경기도 고양시 덕양구 행신동 1071,10491,4128165600,행신4동,4128112800,행신동
경기도 고양시 덕양구 고양대로 1432번길 84-18,경기도 고양시 덕양구 고양대로 1432번길 84-18,126.844317,37.6471084,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 고양대로1432번길 84-18,경기도 고양시 덕양구 성사동 267,10479,4128154000,성사1동,4128110600,성사동
경기도 고양시 덕양구 충장로 380,경기도 고양시 덕양구 충장로 380,126.8413813,37.6449712,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 충장로 380,경기도 고양시 덕양구 화정동 148-35,10482,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 고양대로 1804-30,경기도 고양시 덕양구 고양대로 1804-30,126.8791081,37.6408757,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 고양대로 1804-30,경기도 고양시 덕양구 동산동 333,10599,4128158000,창릉동,4128111200,동산동
경기도 고양시 덕양구 오금동 625,경기도 고양시 덕양구 오금동 625,126.9047639,37.659957,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 오금동 625,10577,4128157600,삼송1동,4128111000,오금동
경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금로 240,126.9188064,37.6630779,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금동 679,10576,4128157600,삼송1동,4128111000,오금동
경기도 고양시 덕양구 화정동 872,경기도 고양시 덕양구 화정동 872,126.8374648,37.6396167,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 은빛로77번길 14,경기도 고양시 덕양구 화정동 872,10474,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 충경로 57-2,경기도 고양시 덕양구 충경로 57-2,126.8360123,37.6157885,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 충경로 57-2,경기도 고양시 덕양구 행신동 772,10528,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 행주내동 636,경기도 고양시 덕양구 행주내동 636,126.8248852,37.6146151,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 행주내동 636,10439,4128163000,행주동,4128112500,행주내동
경기도 고양시 덕양구 지도로 124번길 50,경기도 고양시 덕양구 지도로 124번길 50,126.8257237,37.627553,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 지도로124번길 50,경기도 고양시 덕양구 토당동 896,10511,4128163000,행주동,4128112000,토당동
경기도 고양시 덕양구 행신동 792,경기도 고양시 덕양구 행신동 792,126.8438566,37.6168568,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 소만로 42,경기도 고양시 덕양구 행신동 792,10532,4128165000,행신2동,4128112800,행신동
경기도 고양시 덕양구 화신로 266-1,경기도 고양시 덕양구 화신로 266-1,126.8318107,37.6309472,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로 266-1,경기도 고양시 덕양구 화정동 985,10500,4128162200,화정2동,4128112300,화정동
